Start date, 2017-07-16
End date, 2017-09-23
Total requests, 12666
Total unique devices, 560
Total sessions, 2711
Average response time, 0.67ms

Language, DeviceCount, Percentage
spa, 5, 0.9%
chs, 97, 17.3%
eng, 386, 68.9%
cht, 72, 12.9%

Date, Unique devices, Sessions, Requests
7412E226-3859-4285-8495-C5471F16046F, eng, 2017-09-15 20:19:41, 8
130223e9-553a-4f3d-98d9-46b4edf4ff0f, eng, 2017-09-16 05:27:36, 8
728b8455-17df-4f70-8abe-ba7d4769e4ad, eng, 2017-09-23 07:38:49, 1
19e6d7fd-2cdc-4f50-b410-0d7718966178, eng, 2017-09-23 07:42:08, 1
0e2d081c-6be0-4cc4-a86a-96b99b726087, eng, 2017-09-23 07:47:24, 1
E12EC06D-9309-4A5F-9258-0CA75A207E79, eng, 2017-09-23 05:27:15, 1
E5F4A4B4-5FA2-47EB-A144-1450ABC50B01, eng, 2017-08-25 07:00:47, 30
5E3640AA-5772-41A8-9420-88C4F273D201, eng, 2017-08-25 14:42:36, 29
EFEDB607-ED31-4C00-9920-1941966F7E08, chs, 2017-09-23 17:38:55, 0
329673F8-AC04-4ABA-853D-4B4ABC000EB2, chs, 2017-08-26 13:49:48, 28
301462C3-7C25-4432-88F8-4BF9DC6D956F, eng, 2017-09-18 18:33:21, 5
30FE4014-A54A-4D9A-A484-5710127CB77E, eng, 2017-08-28 13:25:04, 26
0BDB4C67-9ED0-4DCD-A449-A45471951763, eng, 2017-09-20 19:42:13, 3
5f767d7c-18fa-4a58-9b78-1e988de981b7, eng, 2017-09-22 11:03:39, 1
7C986707-CB0D-47AD-8E41-EDD76CD1EE4B, eng, 2017-08-28 18:52:20, 26
A75242E6-6960-4842-84BA-ABA2AD954F39, eng, 2017-09-21 21:45:30, 2
44b50d3b-2506-43b0-b8f4-ee6e0893c8c7, eng, 2017-09-20 22:00:39, 3
73D92AEE-DAD8-4567-B8F6-5B94B0B0E656, eng, 2017-09-23 06:17:28, 1
125b856c-adae-472b-848e-abd8753bf655, eng, 2017-08-29 00:05:50, 26
9c9d76da-cc4e-41a0-a7c6-ab2e44d7ee47, eng, 2017-09-23 09:34:02, 1
